2025-10-15 12:41:46 | RoverLogger | INFO | ============================================================
2025-10-15 12:41:46 | RoverLogger | INFO | MicroMelon Rover Control System Started
2025-10-15 12:41:46 | RoverLogger | INFO | Log level: INFO
2025-10-15 12:41:46 | RoverLogger | INFO | File logging: Enabled
2025-10-15 12:41:46 | RoverLogger | INFO | ============================================================
2025-10-15 12:41:46 | Main | INFO | MicroMelon Rover Control System starting...
2025-10-15 12:41:46 | Main | INFO | Arguments: mode=None, target=None
2025-10-15 13:57:06 | RoverLogger | INFO | ============================================================
2025-10-15 13:57:06 | RoverLogger | INFO | MicroMelon Rover Control System Started
2025-10-15 13:57:06 | RoverLogger | INFO | Log level: INFO
2025-10-15 13:57:06 | RoverLogger | INFO | File logging: Enabled
2025-10-15 13:57:06 | RoverLogger | INFO | ============================================================
2025-10-15 13:57:06 | Main | INFO | MicroMelon Rover Control System starting...
2025-10-15 13:57:06 | Main | INFO | Arguments: mode=gesture, target=simulator
2025-10-15 13:57:06 | Main | INFO | Starting gesture mode with simulator target
2025-10-15 13:57:06 | Main | ERROR | Fatal error: No module named 'interfaces.gesture_interface'
2025-10-15 14:01:05 | RoverLogger | INFO | ============================================================
2025-10-15 14:01:05 | RoverLogger | INFO | MicroMelon Rover Control System Started
2025-10-15 14:01:05 | RoverLogger | INFO | Log level: INFO
2025-10-15 14:01:05 | RoverLogger | INFO | File logging: Enabled
2025-10-15 14:01:05 | RoverLogger | INFO | ============================================================
2025-10-15 14:01:05 | Main | INFO | MicroMelon Rover Control System starting...
2025-10-15 14:01:05 | Main | INFO | Arguments: mode=gesture, target=simulator
2025-10-15 14:01:05 | Main | INFO | Starting gesture mode with simulator target
2025-10-15 14:01:06 | RoverLogger | INFO | ============================================================
2025-10-15 14:01:06 | RoverLogger | INFO | MicroMelon Rover Control System Started
2025-10-15 14:01:06 | RoverLogger | INFO | Log level: INFO
2025-10-15 14:01:06 | RoverLogger | INFO | File logging: Enabled
2025-10-15 14:01:06 | RoverLogger | INFO | ============================================================
2025-10-15 14:01:06 | RoverLogger | INFO | ============================================================
2025-10-15 14:01:06 | RoverLogger | INFO | MicroMelon Rover Control System Started
2025-10-15 14:01:06 | RoverLogger | INFO | Log level: INFO
2025-10-15 14:01:06 | RoverLogger | INFO | File logging: Enabled
2025-10-15 14:01:06 | RoverLogger | INFO | ============================================================
2025-10-15 14:01:06 | RoverLogger | INFO | ============================================================
2025-10-15 14:01:06 | RoverLogger | INFO | MicroMelon Rover Control System Started
2025-10-15 14:01:06 | RoverLogger | INFO | Log level: INFO
2025-10-15 14:01:06 | RoverLogger | INFO | File logging: Enabled
2025-10-15 14:01:06 | RoverLogger | INFO | ============================================================
2025-10-15 14:01:06 | SimulatorRoverController | INFO | Initialized SimulatorRoverController
2025-10-15 14:01:06 | SimulatorRoverController | INFO | Connecting to simulator at 127.0.0.1:9000
2025-10-15 14:01:06 | Micromelon | INFO | Rover battery at 100%
2025-10-15 14:01:06 | Micromelon | INFO | No sensor errors detected
2025-10-15 14:01:06 | SimulatorRoverController | INFO | Successfully connected to simulator
2025-10-15 14:01:06 | Main | INFO | Rover connected successfully
2025-10-15 14:01:06 | RoverLogger | INFO | ============================================================
2025-10-15 14:01:06 | RoverLogger | INFO | MicroMelon Rover Control System Started
2025-10-15 14:01:06 | RoverLogger | INFO | Log level: INFO
